"postId","content","publishedAt","likeCount","commentCount"
"76Vb9JwfqP8","Cùng nhìn lại hình ảnh tàn phá của bão Yagi | VnExpress Cùng nhìn lại hình ảnh tàn phá của bão Yagi | VnExpress ▻ Những ngày tháng 9 vừa qua, cơn bão số 3, bão Yagi đổ bộ Việt ...","24/09/2024 14:45","161","2"
"aDQZ7zHQsCA","Tình hình siêu bão Yagi tại Hải Nam Trung Quốc #tintuc #bão #bãoyagi","06/09/2024 23:17","7277","215"
"OTcYhxRkQ9E","Bão số 3 Yagi: Mạnh cỡ nào mà được gọi là siêu bão? | THƯ VIỆN PHÁP LUẬT THƯ VIỆN PHÁP LUẬT - MEDIA TEAM Nội dung: Quốc Đạt Trình bày: Đức Huy Dựng hình: Thanh Nhã --- Hãy đăng ký kênh và ...","06/09/2024 10:47","2607","53"
"uMZRT-T6BYw","Siêu bão cấp 17 Yagi đổ bộ tỉnh Hải Nam (Trung Quốc) với sức gió lên tới 234 km/h | VTV24 Siêu bão cấp 17 Yagi đổ bộ vào tỉnh Hải Nam (Trung Quốc) với sức gió lên tới 234 km/h. Sức gió này khiến người bị thổi bay, cây ...","06/09/2024 17:48","2721","0"
"yPDLWBBlnTo","Bão Yagi-Những sự thật kinh hoàng Yagi#BãoYagi#SiêuBãoMạnhNhất#BãoLịchSử#SiêuBão2024 #Gener#Ferdie 1️⃣ Trên biển Đông và tại Việt Nam: • Siêu bão mạnh nhất trên biển Đông trong ít nhất 30 năm. • Gia tăng cường độ nhanh nhất ...","09/09/2024 17:00","92","1"
"21_azfFEWsQ","Bão Yagi đáng sợ như thế nào? #yagi #bãoyagi #baoyagi #bão","07/09/2024 22:10","212","5"
"BPt1xZdWdAA","Toàn cảnh bão Yagi và 12 tiếng càn quét miền Bắc thoisuthanhnien #tinnongthanhnien #phongsuthanhnien Bão số 3 (bão Yagi) trong 12 tiếng đã tàn phá miền Bắc, gây cho người ...","08/09/2024 21:37","1119","0"
"kcUUCm3Fgg4","Yagi  vẫn là một cái gì đó 😨#xuhướng #xuhuong #baoyagi2024 #baowipha","22/07/2025 07:42","272","26"
"LVFOG9sWt4o","Những khoảnh khắc hài hước của bão Yagi tại Việt Nam #baoyagi #vietnam #bão #lũ #yagi #lulut #muabao","11/09/2024 21:04","69","2"
"Nj-cd3SXYII","TOP 10 TỈNH THÀNH THIỆT HẠI NẶNG NHẤT SAU BÃI YAGI #yagi #bao #lulut","14/09/2024 19:00","13755","322"
"9LPG5YcE7EA","Khuôn mặt của siêu bão Yagi 😱  #matnahuyenbi #Chuyenma #kinhdi #shorts","07/09/2024 22:12","3744","116"
"NxYDBQGtwaM","Nhìn lại sức mạnh khủng khiếp của siêu bão Yagi tại Việt Nam","26/08/2025 21:48","212","7"
"ahpNdmW7BY4","Siêu bão Yagi đã làm rụng bao nhiêu quả bưởi nhà tôi Chào mừng mọi người đã trở lại kênh youtube của mình Rất vui được gặp lại các bạn , đừng quên like, đăng kí và bấm ...","08/09/2024 11:30","125280","1510"
"JIpSq7trji8","Bão số 3 (YAGI) tàn phá Quảng Ninh, người dân khiếp sợ thoisuthanhnien #tinnongthanhnien #phongsuthanhnien 00:00 Bão số 3 (YAGI) tàn phá Quảng Ninh, người dân khiếp sợ 3:12 6 ...","07/09/2024 17:58","1399","0"
"F-8gB4cHO2w","Nguy cấp: Đáng sợ khi so sánh bão Kalmaegi và bão Yagi, cảnh báo toàn miền Trung Tin tức mới nhất | Nguy cấp: Đáng sợ khi so sánh bão Kalmaegi và bão Yagi, cảnh báo toàn miền Trung Bão Kalmaegi, dự kiến ...","03/11/2025 19:56","3517","3"
"ZOaO9LZlouQ","Siêu bão Ragasa sẽ có lúc mạnh như siêu bão Yagi, khi vào Vịnh Bắc Bộ vẫn rất mạnh | VTVWDB Siêu bão Ragasa sẽ có lúc mạnh như siêu bão Yagi, khi vào Vịnh Bắc Bộ vẫn rất mạnh | VTVWDB Dự báo thời tiết VTV là ...","21/09/2025 21:40","1275","6"
"X4LVHA10Xuc","Bão số 3 Yagi có mạnh không | Mê Lướt short #tiktok #meluot.","07/09/2024 07:03","93450","1282"
"sJLksOsZlBQ","Siêu Bão Yagi Đổ Bộ Vào Miền Bắc - Dự Kiến Bà Con Nuôi Tôm Sẽ Thiệt Hại Nặng sieubao #baoyagi #yagi #nuoitom #nuoitomcongnghecao #nuoitomsieuthamcanh #tomthe #lentom #giatom #thuysan #farmx ...","06/09/2024 15:45","538","15"
"e__fAdhjRzA","Siêu bão Yagi hồi sinh chuyện gì đang xảy ra ??? #shorts #weather #thoitiet #typhoon #yagi #news","12/03/2025 19:00","0","5"
"EXTePuTSU5s","Thành phố Vinh sáng trưng bất thường do bão yagi #tintuc #bão #bãoyagi","06/09/2024 02:22","19","0"
"dqXbWo_Y3MQ","Sức mạnh bão số 3 Yagi đáng sợ như thế nào #shorts Sức mạnh bão số 3 Yagi đáng sợ như thế nào #shorts #tiktok #tieuthachreview.","07/09/2024 17:00","67138","660"
"I7fHgojlYtk","Sau cơn bão YAGI, những chiếc BIỂN QUẢNG CÁO bỗng chốc thay đổi ý nghĩa HOÀN TOÀN MỚI | TÁM TV tamtv #tin3phut #tintuc ❤ Tham gia làm hội viên của ""Tám TV"" để được hưởng đặc quyền: ...","16/09/2024 10:42","978","15"
"Ii7PN1MxYGg","Sức tàn phá khủng khiếp của siêu bão Yagi sau khi đổ bộ Trung Quốc | Truyền hình Quốc hội Việt Nam Truyền hình Quốc hội Việt Nam | Siêu bão Yagi đã đổ bộ vào tỉnh Hải Nam, miền Nam Trung Quốc vào chiều 6/9, mang theo mưa ...","07/09/2024 10:14","365","9"
"apk06sFLwZ0","Phản ứng các nước khi cơn bão Yagi tấn công Việt Nam","29/03/2025 17:00","2088","18"
"75CCX002_HU","Bất Ổn Những Dị Tượng Xảy Ra Trước Siêu Bão YAGI Báo Hiệu Điều Gì | Nhanh Trí Bất Ổn Những Dị Tượng Xảy Ra Trước Siêu Bão YAGI Báo Hiệu Điều Gì | Nhanh Trí Nhanh trí hân hoan chào đón các bạn đến ...","13/09/2024 11:00","1624","329"
"eREkoElSDiI","Siêu bão Yagi lập kỷ lục. Bão có tác dụng gì đến sự tồn tại của con người. Pisen - Không khen không được Pin sạc dự phòng Pisen: - Bảo hành 24 tháng. - Đầy đủ giấy chứng nhận chất lượng không lo ...","06/09/2024 21:00","5912","603"
"eG8yr9hJJr8","🛑 Hà Nội sau Cơn Bão Yagi 🛑 Mọi người ơi ! mọi người an toàn hết phải không ? baoyagi #yagi #conbaoso3 #hanoi.","08/09/2024 13:46","15","0"
