ID,Date,Content,Likes,Comments
"bw0bPaVSgco","2025-09-28 16:40:06","Cập nhật tin tức mới nhất 28/9. Bão Bualoi đổ bộ đất liền: Dự báo thời điểm gió mạnh nhất hôm nay tin tức 24h #tintuc Dự báo khoảng 16h chiều nay; tâm bão Bualoi mạnh cấp 12-13 đi vào vùng biển Nghệ An - Quảng Trị và ...",480,31
"X-Ssu-o9oZ4","2025-09-28 18:55:00","sức tàn phá của cơn bão Bualoi. bão Bualoi đã đổ bổ vào đất liền.",494,30
"ke-GT78SSDg","2025-09-30 05:45:00","Video toàn cảnh 12 tiếng bão Bualoi quần thảo; lốc xoáy kinh hoàng; con số thương vong ám ảnh Tin tức mới nhất | Video toàn cảnh 12 tiếng bão Bualoi quần thảo; lốc xoáy kinh hoàng; con số thương vong ám ảnh VẤN ĐỀ ...",3204,1
"b4r8T1DRVGE","2025-09-28 07:55:21","Tối đến đêm nay (28/9); bão Bualoi vào đất liền với cường độ mạnh thêm  | VTV24 Sáng nay; bão số 10 ở trên vùng biển phía Tây đặc khu Hoàng Sa; cách TP. Đà Nẵng khoảng 170 km về phía Đông; cường độ ...",799,0
"NqdZ1fqm0nc","2025-09-26 15:54:57","Bão Bualoi sẽ đi rất nhanh và mạnh lên | VTV24 Bão Bualoi ở miền Trung Philippines đang đi rất nhanh; dự kiến tối nay sẽ đi vào Biển Đông; trở thành cơn bão số 10 ...",492,0
"72d8qdTpiLg","2025-09-29 17:19:11","Đau đớn thiệt hại “khủng” bão số 10 Bualoi để lại: Thương vong tăng vọt hàng chục nghìn nhà nứt toác VietNamnet | Bão Bualoi làm nhiều người thiệt mạng và mất tích; hàng chục nghìn ngôi nhà tại nhiều địa phương như Thanh Hóa ...",33,0
"T3zq8Z9M4H4","2025-09-26 19:29:15","Bão Bualoi đi nhanh hiếm thấy; gây nhiều thiệt hại khi đổ bộ Philippines | VTV24 Bão Bualoi là một cơn bão đi nhanh hiếm thấy; tốc độ di chuyển lên tới 35km/h. Ít nhất đã có 4 người tử vong; hơn 400.000 người ...",624,0
"YEa3ziu0RRE","2025-09-30 17:30:06","Hà Nội ngập sau bão số 10 (bão Bualoi): &quot;9 năm mới ngập lên mức này&quot; baothanhnien #tintuc #thoisu #tinnong Do ảnh hưởng của hoàn lưu bão số 10 (bão Bualoi); chiều 30.9; nhiều tuyến đường ở Hà ...",122,0
"TYp0yRPlPtk","2025-09-27 18:50:06","Tin bão khẩn cấp: Bão số 10 (Bualoi) đang di chuyển nhanh gần gấp đôi các cơn bão bình thường |VTV24 Dự báo tối đến đêm mai (28/9); bão số 10 sẽ đi vào đất liền nước ta. Với tốc độ di chuyển nhanh; bão số 10 sẽ gây những nguy ...",695,0
"KT-FWhT-Nw4","2025-09-27 21:38:33","Bão Bualoi bão số 10 tin mới nhất ",201,1
"H__lhSUlYbM","2025-09-29 06:39:03","Cập nhật mới nhất về Cơn bão số 10 (Bualoi) #thoitiet #baoso10 Cập nhật mới nhất về Cơn bão số 10 (Bualoi) #thoitiet #baoso10.",986,5
"F3q6UhtwhK8","2025-09-26 07:23:57","Đêm nay (26/9); bão Bualoi sẽ vào biển Đông | VTV24 Cập nhật mới nhất; sáng sớm nay (26/9); bão Bualoi đang nằm trên khu vực miền Trung Philippines; cường độ mạnh cấp 11; giật ...",506,0
"HhSYyfR9UE8","2025-09-29 07:07:01","Tin bão mới nhất: Bão số 10 Bualoi chính thức quần thảo Hà Tĩnh - Quảng Trị; gió giật điên cuồng VietNamNet | Theo Trung tâm Dự báo Khí tượng Thủy văn Quốc gia; đêm 28/9; bão số 10 (bão BUALOI) đã đi vào địa phận Hà ...",89,0
"uZw5zi_kn3c","2025-09-29 17:47:55","Tàn khốc bão số 10 (bão Bualoi): 11 người thiệt mạng; 13 người mất tích baothanhnien #tintuc #thoisu #tinnong Theo báo cáo nhanh của Bộ Nông nghiệp và Môi trường; tính đến 12 giờ ngày 29.9; bão ...",288,0
"eG-WSPJKRbU","2025-09-29 09:29:46","Thiệt hại mới bão bualoi số 10 ",71,0
