"videoId","title","publishedAt","commentCount"
"21_azfFEWsQ","Bão Yagi đáng sợ như thế nào? #yagi #bãoyagi #baoyagi #bão","2024-09-07T15:10:11.000Z","3"
"sSlvyehugxw","Bão Yagi, nhìn lại hình ảnh thực tế trận bão lịch sử, chúc bà con phục hồi nhanh #xuhuong #hottrend","2024-09-08T04:31:15.000Z","594"
"75CCX002_HU","Bất Ổn Những Dị Tượng Xảy Ra Trước Siêu Bão YAGI Báo Hiệu Điều Gì | Nhanh Trí","2024-09-13T04:00:05.000Z","330"
"76Vb9JwfqP8","Cùng nhìn lại hình ảnh tàn phá của bão Yagi | VnExpress","2024-09-24T07:45:00.000Z","2"
"kHp30SKWtIs","bão YAGI là cơn bão khiến tôi ám ảnh cũng là cơn bão khiến tôi làm kênh dự báo 👍","2025-10-20T10:10:44.000Z","21"
"ED0ocTcI9C4","Siêu bão mạnh gấp 1000 lần bão yagi","2024-09-18T04:30:04.000Z","281"
"ahpNdmW7BY4","Siêu bão Yagi đã làm rụng bao nhiêu quả bưởi nhà tôi","2024-09-08T04:30:01.000Z","1512"
"HpZtpm4jUW0","So sánh hai siêu bão Yagi và Haiyan","2025-06-17T13:05:09.000Z","47"
"F-8gB4cHO2w","Nguy cấp: Đáng sợ khi so sánh bão Kalmaegi và bão Yagi, cảnh báo toàn miền Trung","2025-11-03T12:56:10.000Z","3"
"ECqbLpvrz7E","5 cơn bão cùng lúc càn quét khắp TG, dân mạng đoán: chắc YAGI nó đu trend gọi cả HỌ HÀNG | TÁM TV","2025-09-26T12:30:30.000Z","90"
"NFfeCE0iLbA","Siêu bão Ragasa 2025 và Yagi 2024 có Sự trùng hợp rợn người tháng đúng 8 âm lịch#shortvideo #baoso9","2025-09-22T09:26:23.000Z","58"
"X4LVHA10Xuc","Bão số 3 Yagi có mạnh không | Mê Lướt","2024-09-07T00:03:54.000Z","1283"
"iUVSYD8LXYY","🚨🌪️ SỰ TRÙNG HỢP RÙNG MÌNH CỦA BÃO YAGI VÀ BÃO RAGASA 😰🌪️🚨#shorts","2025-09-22T12:01:28.000Z","16"
"Rw7qeoddEGI","Bão Wipha có điểm tương đồng bão Yagi","2025-07-18T10:04:44.000Z","0"
"BQdi7qBngZQ","Bão Yagi đã hồi sinh thành bão #baoyagi #baowipha #edit #vialshorts #xuhướng","2025-07-22T03:18:44.000Z","45"
"eREkoElSDiI","Siêu bão Yagi lập kỷ lục. Bão có tác dụng gì đến sự tồn tại của con người.","2024-09-06T14:00:43.000Z","603"
"txoBJsGx_oM","Siêu bão RAGASA mạnh hơn cả YAGI, dân mạng nguyện hiến dâng &#39;TỔNG TÀI FAKE&#39; để bão sớm tan | TÁM TV","2025-09-23T09:30:38.000Z","17"
"uMZRT-T6BYw","Siêu bão cấp 17 Yagi đổ bộ tỉnh Hải Nam (Trung Quốc) với sức gió lên tới 234 km/h | VTV24","2024-09-06T10:48:33.000Z","0"
"o7ZtrWhpDVE","🔥 7 Siêu Bão Mang Hình Dáng Kỳ Lạ Và Bí Ẩn Nhất Khiến Cả Thế Giới Bàng Hoàng | Kính Lúp TV","2025-09-28T02:30:41.000Z","212"
"RGUjEa8TJzo","Cách siêu bão Yagi hình thành #phuktaphoa #yagi #sieubaoyagi #xuhuong #khampha","2024-09-08T07:28:28.000Z","8"
